Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-09,328.0,328.0,328.0,328.0,0,0,0
2018-03-12,328.0,328.0,328.0,328.0,0,0,0
2018-03-13,328.0,328.0,328.0,328.0,0,0,0
2018-03-14,328.0,328.0,328.0,328.0,0,0,0
2018-03-15,328.0,328.0,328.0,328.0,0,0,0
2018-03-16,328.0,328.0,328.0,328.0,0,0,0
2018-03-19,328.0,328.0,328.0,328.0,0,0,0
2018-03-20,328.0,328.0,328.0,328.0,0,0,0
2018-03-21,328.0,328.0,328.0,328.0,0,0,0
2018-03-22,328.0,328.0,328.0,328.0,0,0,0
2018-03-23,328.0,328.0,328.0,328.0,0,0,0
2018-03-26,328.0,328.0,328.0,328.0,0,0,0
2018-03-27,328.0,328.0,328.0,328.0,0,0,0
2018-03-28,12.5,13.119999885559082,12.5,13.119999885559082,400,0,0
2018-04-02,13.199999809265137,13.770000457763672,13.199999809265137,13.770000457763672,1375,0,0
2018-04-03,14.449999809265137,14.449999809265137,14.449999809265137,14.449999809265137,4390,0,0
2018-04-04,15.100000381469727,15.170000076293945,15.100000381469727,15.170000076293945,400,0,0
2018-04-05,15.920000076293945,15.920000076293945,15.920000076293945,15.920000076293945,105,0,0
2018-04-06,16.709999084472656,16.709999084472656,16.709999084472656,16.709999084472656,1300,0,0
2018-04-09,17.540000915527344,17.540000915527344,17.540000915527344,17.540000915527344,2150,0,0
2018-04-10,17.0,18.40999984741211,17.0,18.40999984741211,3725,0,0
2018-04-11,19.31999969482422,19.329999923706055,19.31999969482422,19.329999923706055,725,0,0
2018-04-12,20.290000915527344,20.290000915527344,20.290000915527344,20.290000915527344,310,0,0
2018-04-13,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,278,0,0
2018-04-16,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,1658,0,0
2018-04-17,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,875,0,0
2018-04-18,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,100,0,0
2018-04-19,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,245,0,0
2018-04-20,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,1025,0,0
2018-04-23,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,350,0,0
2018-04-24,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,200,0,0
2018-04-25,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,262,0,0
2018-04-26,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,3000,0,0
2018-04-27,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,1073,0,0
2018-04-30,20.989999771118164,20.989999771118164,20.989999771118164,20.989999771118164,2275,0,0
2018-05-02,22.0,22.0,22.0,22.0,400,0,0
2018-05-03,23.100000381469727,23.100000381469727,23.100000381469727,23.100000381469727,1225,0,0
2018-05-04,24.25,24.25,24.25,24.25,401,0,0
2018-05-07,25.450000762939453,25.450000762939453,25.450000762939453,25.450000762939453,858,0,0
2018-05-08,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,307,0,0
2018-05-09,28.0,28.0,28.0,28.0,975,0,0
2018-05-10,28.75,28.75,28.0,28.75,11437,0,0
2018-05-11,28.75,28.75,28.75,28.75,100,0,0
2018-05-14,28.75,28.75,28.75,28.75,351,0,0
2018-05-15,28.75,28.75,28.75,28.75,1230,0,0
2018-05-16,28.75,28.75,28.75,28.75,1678,0,0
2018-05-17,28.75,28.75,28.75,28.75,300,0,0
2018-05-18,28.75,28.75,28.75,28.75,508,0,0
2018-05-21,28.75,28.75,28.75,28.75,300,0,0
2018-05-22,28.75,28.75,28.75,28.75,1325,0,0
2018-05-23,28.75,30.149999618530273,28.75,30.149999618530273,2000,0,0
2018-05-24,31.649999618530273,31.649999618530273,28.850000381469727,31.149999618530273,2006,0,0
2018-05-25,32.70000076293945,32.70000076293945,29.649999618530273,29.649999618530273,1121,0,0
2018-05-28,31.0,31.100000381469727,28.5,28.5,2438,0,0
2018-05-29,28.5,29.899999618530273,27.200000762939453,29.899999618530273,2869,0,0
2018-05-30,28.5,28.600000381469727,28.450000762939453,28.450000762939453,4080,0,0
2018-05-31,28.450000762939453,29.0,27.25,27.350000381469727,4530,0,0
2018-06-01,27.350000381469727,27.350000381469727,27.350000381469727,27.350000381469727,0,0,0
2018-06-04,26.100000381469727,26.100000381469727,26.0,26.0,1110,0,0
2018-06-05,24.700000762939453,24.700000762939453,24.700000762939453,24.700000762939453,800,0,0
2018-06-06,23.5,23.5,23.5,23.5,500,0,0
2018-06-07,22.350000381469727,22.350000381469727,22.350000381469727,22.350000381469727,201,0,0
2018-06-08,21.25,22.5,21.25,21.25,4836,0,0
2018-06-11,20.200000762939453,21.25,20.200000762939453,20.200000762939453,1001,0,0
2018-06-12,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,0,0,0
2018-06-13,18.25,18.299999237060547,18.25,18.25,3300,0,0
2018-06-14,17.350000381469727,17.350000381469727,17.350000381469727,17.350000381469727,500,0,0
2018-06-15,16.899999618530273,18.200000762939453,16.5,17.350000381469727,2685,0,0
2018-06-18,16.5,18.200000762939453,16.5,16.5,551,0,0
2018-06-19,15.699999809265137,15.800000190734863,15.699999809265137,15.699999809265137,2070,0,0
2018-06-20,15.699999809265137,15.699999809265137,15.699999809265137,15.699999809265137,50,0,0
2018-06-21,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,727,0,0
2018-06-22,15.100000381469727,15.100000381469727,15.100000381469727,15.100000381469727,300,0,0
2018-06-25,14.800000190734863,14.800000190734863,14.800000190734863,14.800000190734863,150,0,0
2018-06-26,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,120,0,0
2018-06-27,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0,0,0
2018-06-28,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0,0,0
2018-06-29,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,57,0,0
2018-07-02,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,0,0,0
2018-07-03,14.550000190734863,14.550000190734863,14.550000190734863,14.550000190734863,30,0,0
