token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
7742,EURINR22JUN78.75PE,EURINR,2022-06-28,787500000.0,1,OPTCUR,CDS,25000.000000
2534,USDJPY22SEP133CE,USDJPY,2022-09-28,1330000000.0,1,OPTCUR,CDS,100000.000000
8235,EURINR2290283PE,EURINR,2022-09-02,830000000.0,1,OPTCUR,CDS,25000.000000
14916,USDINR22JUL73.75PE,USDINR,2022-07-27,737500000.0,1,OPTCUR,CDS,25000.000000
11582,610GS203122SEP98.5CE,610GS2031,2022-09-29,985000000.0,1,OPTIRC,CDS,25000.000000
3015,EURINR22DEC88PE,EURINR,2022-12-28,880000000.0,1,OPTCUR,CDS,25000.000000
7206,JPYINR2272958CE,JPYINR,2022-07-29,580000000.0,1,OPTCUR,CDS,25000.000000
10067,GBPUSD22SEP1.22PE,GBPUSD,2022-09-28,12200000.0,1,OPTCUR,CDS,1000.000000
14498,USDINR2271582.25PE,USDINR,2022-07-15,822500000.0,1,OPTCUR,CDS,25000.000000
1989,577GS203022JUN91.75PE,577GS2030,2022-06-30,917500000.0,1,OPTIRC,CDS,25000.000000
11500,610GS203122JUN96.75CE,610GS2031,2022-06-30,967500000.0,1,OPTIRC,CDS,25000.000000
11125,585GS203022JUL91.5CE,585GS2030,2022-07-28,915000000.0,1,OPTIRC,CDS,25000.000000
8164,JPYINR2270156.75PE,JPYINR,2022-07-01,567500000.0,1,OPTCUR,CDS,25000.000000
10289,GBPINR2281291CE,GBPINR,2022-08-12,910000000.0,1,OPTCUR,CDS,25000.000000
6538,GBPUSD23MAR1.35PE,GBPUSD,2023-03-29,13500000.0,1,OPTCUR,CDS,1000.000000
5348,EURUSD22JUN1.115PE,EURUSD,2022-06-28,11150000.0,1,OPTCUR,CDS,1000.000000
2041,GBPINR22SEP109.5CE,GBPINR,2022-09-28,1095000000.0,1,OPTCUR,CDS,25000.000000
12406,GBPINR2271596.25PE,GBPINR,2022-07-15,962500000.0,1,OPTCUR,CDS,25000.000000
9944,USDJPY23MAR142PE,USDJPY,2023-03-29,1420000000.0,1,OPTCUR,CDS,100000.000000
14635,GBPINR22JUL99.25CE,GBPINR,2022-07-27,992500000.0,1,OPTCUR,CDS,25000.000000
9217,GBPINR22902102.5PE,GBPINR,2022-09-02,1025000000.0,1,OPTCUR,CDS,25000.000000
10116,GBPINR2290291PE,GBPINR,2022-09-02,910000000.0,1,OPTCUR,CDS,25000.000000
6915,GBPINR2272997.25PE,GBPINR,2022-07-29,972500000.0,1,OPTCUR,CDS,25000.000000
2121,EURINR22JUN85.25CE,EURINR,2022-06-28,852500000.0,1,OPTCUR,CDS,25000.000000
12988,USDJPY22JUN120.5CE,USDJPY,2022-06-28,1205000000.0,1,OPTCUR,CDS,100000.000000
9059,585GS203022JUL87.25PE,585GS2030,2022-07-28,872500000.0,1,OPTIRC,CDS,25000.000000
3950,JPYINR2262465.25CE,JPYINR,2022-06-24,652500000.0,1,OPTCUR,CDS,25000.000000
5207,EURINR22JUN93.5PE,EURINR,2022-06-28,935000000.0,1,OPTCUR,CDS,25000.000000
14451,USDINR2271576.5CE,USDINR,2022-07-15,765000000.0,1,OPTCUR,CDS,25000.000000
11828,USDINR22SEP75.25CE,USDINR,2022-09-28,752500000.0,1,OPTCUR,CDS,25000.000000
11276,610GS203122JUL90PE,610GS2031,2022-07-28,900000000.0,1,OPTIRC,CDS,25000.000000
1445,USDINR22812FUT,USDINR,2022-08-12,-1.0,1,FUTCUR,CDS,25000.000000
7652,EURINR2270182PE,EURINR,2022-07-01,820000000.0,1,OPTCUR,CDS,25000.000000
4184,GBPINR22JUL103.75CE,GBPINR,2022-07-27,1037500000.0,1,OPTCUR,CDS,25000.000000
4543,GBPINR22DEC106.75PE,GBPINR,2022-12-28,1067500000.0,1,OPTCUR,CDS,25000.000000
8131,GBPINR22701103.25CE,GBPINR,2022-07-01,1032500000.0,1,OPTCUR,CDS,25000.000000
13007,610GS203122JUL94.25CE,610GS2031,2022-07-28,942500000.0,1,OPTIRC,CDS,25000.000000
8407,EURINR2270878.25PE,EURINR,2022-07-08,782500000.0,1,OPTCUR,CDS,25000.000000
1907,USDINR2262483.25PE,USDINR,2022-06-24,832500000.0,1,OPTCUR,CDS,25000.000000
11580,610GS203122SEP98.25CE,610GS2031,2022-09-29,982500000.0,1,OPTIRC,CDS,25000.000000
7818,EURUSD22DEC1.265PE,EURUSD,2022-12-28,12650000.0,1,OPTCUR,CDS,1000.000000
9712,USDJPY22JUN142CE,USDJPY,2022-06-28,1420000000.0,1,OPTCUR,CDS,100000.000000
14348,667GS203522SEP92PE,667GS2035,2022-09-29,920000000.0,1,OPTIRC,CDS,25000.000000
13343,USDINR2270882CE,USDINR,2022-07-08,820000000.0,1,OPTCUR,CDS,25000.000000
12127,USDINR2261776.5CE,USDINR,2022-06-17,765000000.0,1,OPTCUR,CDS,25000.000000
13060,USDJPY23MAR114CE,USDJPY,2023-03-29,1140000000.0,1,OPTCUR,CDS,100000.000000
13624,USDINR22DEC75.5CE,USDINR,2022-12-28,755000000.0,1,OPTCUR,CDS,25000.000000
5546,EURUSD22JUL1PE,EURUSD,2022-07-27,10000000.0,1,OPTCUR,CDS,1000.000000
10083,USDINR2290283.25CE,USDINR,2022-09-02,832500000.0,1,OPTCUR,CDS,25000.000000
9920,667GS203522DEC99PE,667GS2035,2022-12-29,990000000.0,1,OPTIRC,CDS,25000.000000
2006,619GS203422SEPFUT,619GS2034,2022-09-29,-1.0,1,FUTIRC,CDS,25000.000000
10584,JPYINR2281259.75CE,JPYINR,2022-08-12,597500000.0,1,OPTCUR,CDS,25000.000000
7228,EURINR22DEC77.75PE,EURINR,2022-12-28,777500000.0,1,OPTCUR,CDS,25000.000000
1652,EURINR22SEP89PE,EURINR,2022-09-28,890000000.0,1,OPTCUR,CDS,25000.000000
9815,GBPUSD22DEC1.11PE,GBPUSD,2022-12-28,11100000.0,1,OPTCUR,CDS,1000.000000
6515,USDINR2281971.5PE,USDINR,2022-08-19,715000000.0,1,OPTCUR,CDS,25000.000000
13576,USDINR22DEC69.5CE,USDINR,2022-12-28,695000000.0,1,OPTCUR,CDS,25000.000000
3573,667GS203523MAR86.5CE,667GS2035,2023-03-30,865000000.0,1,OPTIRC,CDS,25000.000000
8141,GBPINR22701104.5CE,GBPINR,2022-07-01,1045000000.0,1,OPTCUR,CDS,25000.000000
13468,667GS203522SEP99.25CE,667GS2035,2022-09-29,992500000.0,1,OPTIRC,CDS,25000.000000
