,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
3480,8450,H1861D46RD-MF,H1861D46RD,,-1.0,1,,NSE,1.0
3523,14699,SFMP23DD-MF,SFMP23DD,,-1.0,1,,NSE,1.0
3526,30425,UTFDAIPIGI-MF,UTFDAIPIGI,,-1.0,1,,NSE,1.0
3586,11017,UTIRAP32P2-MF,UTIRAP32P2,,-1.0,1,,NSE,1.0
3620,5592,SFMP50DD-MF,SFMP50DD,,-1.0,1,,NSE,1.0
3639,3562,EC4RG-MF,EC4RG,,-1.0,1,,NSE,1.0
3650,2237,H3360D30RF-MF,H3360D30RF,,-1.0,1,,NSE,1.0
3653,14999,SFMP25GD-MF,SFMP25GD,,-1.0,1,,NSE,1.0
3657,3361,SFMP43GR-MF,SFMP43GR,,-1.0,1,,NSE,1.0
3665,11018,UTIRFP32P2-MF,UTIRFP32P2,,-1.0,1,,NSE,1.0
3667,18008,BPF02D3R-MF,BPF02D3R,,-1.0,1,,NSE,1.0
3679,259,M17RD-MF,M17RD,,-1.0,1,,NSE,1.0
3701,4413,EC5RD-MF,EC5RD,,-1.0,1,,NSE,1.0
3730,4647,H1487D42DD-MF,H1487D42DD,,-1.0,1,,NSE,1.0
3736,12590,MFSL-BL,MFSL,,-1.0,1,,NSE,5.0
3739,19274,DFMFOODS-BL,DFMFOODS,,-1.0,1,,NSE,5.0
3763,8548,H1162D46RD-MF,H1162D46RD,,-1.0,1,,NSE,1.0
3780,5602,SFMP50GR-MF,SFMP50GR,,-1.0,1,,NSE,1.0
3827,17552,FIIOF2DP-MF,FIIOF2DP,,-1.0,1,,NSE,1.0
3830,4688,EC6DD-MF,EC6DD,,-1.0,1,,NSE,1.0
3832,18172,BPF01QDD-MF,BPF01QDD,,-1.0,1,,NSE,1.0
3842,2142,MFSL-EQ,MFSL,,-1.0,1,,NSE,5.0
3850,11016,UTIDQP32P2-MF,UTIDQP32P2,,-1.0,1,,NSE,1.0
3877,23848,UFIS2QPRP5-MF,UFIS2QPRP5,,-1.0,1,,NSE,1.0
3903,11021,UTIRQP32P2-MF,UTIRQP32P2,,-1.0,1,,NSE,1.0
3920,1852,EC1DD-MF,EC1DD,,-1.0,1,,NSE,1.0
3940,18177,IFD3GPD-MF,IFD3GPD,,-1.0,1,,NSE,1.0
3943,17581,FISTIP2GPD-MF,FISTIP2GPD,,-1.0,1,,NSE,1.0
3965,30960,UDAIPIPIII-MF,UDAIPIPIII,,-1.0,1,,NSE,1.0
3981,5975,H1344D43DQ-MF,H1344D43DQ,,-1.0,1,,NSE,1.0
4045,3166,SFMP42GR-MF,SFMP42GR,,-1.0,1,,NSE,1.0
4131,18163,BPF02RWR-MF,BPF02RWR,,-1.0,1,,NSE,1.0
4136,12789,SUNDARMFIN-BL,SUNDARMFIN,,-1.0,1,,NSE,5.0
4191,2225,H3360D30DD-MF,H3360D30DD,,-1.0,1,,NSE,1.0
4213,8774,H1876D46DQ-MF,H1876D46DQ,,-1.0,1,,NSE,1.0
4216,5181,SFMP47GD-MF,SFMP47GD,,-1.0,1,,NSE,1.0
4247,29870,UFDS2QPIP5-MF,UFDS2QPIP5,,-1.0,1,,NSE,1.0
4258,29754,UTFDQIPIGI-MF,UTFDQIPIGI,,-1.0,1,,NSE,1.0
4268,15227,SFMP26GR-MF,SFMP26GR,,-1.0,1,,NSE,1.0
4278,3845,MC1RG-MF,MC1RG,,-1.0,1,,NSE,1.0
4286,17555,FIIOF2GPD-MF,FIIOF2GPD,,-1.0,1,,NSE,1.0
4325,9905,H140D-MF,H140D,,-1.0,1,,NSE,1.0
4373,8647,SFMP61DR-MF,SFMP61DR,,-1.0,1,,NSE,1.0
4377,17559,MI2MPD-MF,MI2MPD,,-1.0,1,,NSE,1.0
4386,9282,RSDFSC30GD-MF,RSDFSC30GD,,-1.0,1,,NSE,1.0
4387,18095,BPF02RDR-MF,BPF02RDR,,-1.0,1,,NSE,1.0
4392,3844,MC1RD-MF,MC1RD,,-1.0,1,,NSE,1.0
4398,14190,SFMP21GR-MF,SFMP21GR,,-1.0,1,,NSE,1.0
4438,4097,IPRU2407-MF,IPRU2407,,-1.0,1,,NSE,1.0
4453,14701,SFMP23GD-MF,SFMP23GD,,-1.0,1,,NSE,1.0
4456,13207,SCPOFA5GD-MF,SCPOFA5GD,,-1.0,1,,NSE,1.0
4464,18005,BPF02D1R-MF,BPF02D1R,,-1.0,1,,NSE,1.0
4476,18062,BPF02D5R-MF,BPF02D5R,,-1.0,1,,NSE,1.0
4485,9237,SCPOFA1GD-MF,SCPOFA1GD,,-1.0,1,,NSE,1.0
4526,17584,FISTP2WDPD-MF,FISTP2WDPD,,-1.0,1,,NSE,1.0
4529,10391,UTIDQP32P1-MF,UTIDQP32P1,,-1.0,1,,NSE,1.0
4531,30215,NMFINAIDR1-MF,NMFINAIDR1,,-1.0,1,,NSE,1.0
4546,5105,ABSLFTTJDN-MF,ABSLFTTJDN,,-1.0,1,,NSE,1.0
4576,8445,H1861D46DG-MF,H1861D46DG,,-1.0,1,,NSE,1.0
4583,2228,H3360D30DF-MF,H3360D30DF,,-1.0,1,,NSE,1.0
4608,9509,SCPOFA2GD-MF,SCPOFA2GD,,-1.0,1,,NSE,1.0
4614,3106,SFMP41DR-MF,SFMP41DR,,-1.0,1,,NSE,1.0
4621,5443,H1372D42RD-MF,H1372D42RD,,-1.0,1,,NSE,1.0
4665,10371,UTIDAP32P1-MF,UTIDAP32P1,,-1.0,1,,NSE,1.0
4732,9906,H140G-MF,H140G,,-1.0,1,,NSE,1.0
4741,17980,UTIDQP33P1-MF,UTIDQP33P1,,-1.0,1,,NSE,1.0
4744,18182,FISTIP3GP-MF,FISTIP3GP,,-1.0,1,,NSE,1.0
4754,4965,H1381D42DD-MF,H1381D42DD,,-1.0,1,,NSE,1.0
4760,21656,M16RG-MF,M16RG,,-1.0,1,,NSE,1.0
4763,9892,SFMP3DR-MF,SFMP3DR,,-1.0,1,,NSE,1.0
4766,3561,EC4RD-MF,EC4RD,,-1.0,1,,NSE,1.0
4806,10997,UTIDAP32P2-MF,UTIDAP32P2,,-1.0,1,,NSE,1.0
4813,15000,SFMP25GR-MF,SFMP25GR,,-1.0,1,,NSE,1.0
4822,9097,RSDFSC28GD-MF,RSDFSC28GD,,-1.0,1,,NSE,1.0
4828,18065,BPF02IMD-MF,BPF02IMD,,-1.0,1,,NSE,1.0
4856,9283,RSDFSC30GR-MF,RSDFSC30GR,,-1.0,1,,NSE,1.0
4868,17981,UTIRAP33P1-MF,UTIRAP33P1,,-1.0,1,,NSE,1.0
4891,10392,UTIRAP32P1-MF,UTIRAP32P1,,-1.0,1,,NSE,1.0
4908,9086,RSDFSC27GR-MF,RSDFSC27GR,,-1.0,1,,NSE,1.0
4913,3560,EC4DG-MF,EC4DG,,-1.0,1,,NSE,1.0
4917,3559,EC4DD-MF,EC4DD,,-1.0,1,,NSE,1.0
4924,18198,FISTIPD3GP-MF,FISTIPD3GP,,-1.0,1,,NSE,1.0
4935,10060,SFMP6GR-MF,SFMP6GR,,-1.0,1,,NSE,1.0
