token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
937723,875IIFL26,875IIFL26,,-1.0,1,,BSE,1.000000
543068,IPRU3421,IPRU3421,,-1.0,1,,BSE,1.000000
532180,DHANBANK,DHANBANK,,-1.0,1,,BSE,1.000000
526683,HOTELRUGBY,HOTELRUGBY,,-1.0,1,,BSE,1.000000
948961,1065STFC23B,1065STFC23B,,-1.0,1,,BSE,1.000000
543206,SFMP34DD,SFMP34DD,,-1.0,1,,BSE,1.000000
973217,VCPL28521,VCPL28521,,-1.0,10,,BSE,1.000000
951634,875ILFS25,875ILFS25,,-1.0,1000,,BSE,1.000000
958790,ELL24MAY19,ELL24MAY19,,-1.0,10,,BSE,1.000000
959535,72834HDB23,72834HDB23,,-1.0,1,,BSE,1.000000
509243,TVSSRICHAK,TVSSRICHAK,,-1.0,1,,BSE,5.000000
500304,NIITLTD,NIITLTD,,-1.0,1,,BSE,5.000000
960072,77KFC27,77KFC27,,-1.0,5,,BSE,1.000000
505216,ALFREDHE,ALFREDHE,,-1.0,1,,BSE,5.000000
957293,915DMTCL23,915DMTCL23,,-1.0,1,,BSE,1.000000
957387,830ILFSL23,830ILFSL23,,-1.0,1000,,BSE,1.000000
519279,MADHURIND,MADHURIND,,-1.0,1,,BSE,1.000000
512215,STEPHANOTIS,STEPHANOTIS,,-1.0,1,,BSE,5.000000
959948,569RECL23,569RECL23,,-1.0,1,,BSE,1.000000
500378,JINDALSAW,JINDALSAW,,-1.0,1,,BSE,5.000000
972655,IFCI010811B,IFCI010811B,,-1.0,10,,BSE,1.000000
531420,BMBMUMG,BMBMUMG,,-1.0,1,,BSE,1.000000
506655,SUDARSCHEM,SUDARSCHEM,,-1.0,1,,BSE,5.000000
937689,0KSFL23,0KSFL23,,-1.0,1,,BSE,1.000000
957332,935DMTCL32A,935DMTCL32A,,-1.0,1,,BSE,1.000000
800092,1240GOI13,1240GOI13,,-1.0,10,,BSE,5.000000
500128,ELECTCAST,ELECTCAST,,-1.0,1,,BSE,5.000000
810748,701MHSDL32,701MHSDL32,,-1.0,10,,BSE,5.000000
542907,PRINCEPIPE,PRINCEPIPE,,-1.0,1,,BSE,5.000000
951217,797IFC2024J,797IFC2024J,,-1.0,10,,BSE,1.000000
960309,775BOM30,775BOM30,,-1.0,1,,BSE,1.000000
950492,846PFC28,846PFC28,,-1.0,1,,BSE,1.000000
935912,915RHFL27B,915RHFL27B,,-1.0,1,,BSE,1.000000
542680,SCPOFA3GR,SCPOFA3GR,,-1.0,1,,BSE,1.000000
953877,922STFCL26,922STFCL26,,-1.0,1,,BSE,1.000000
514223,RAMGOPOLY,RAMGOPOLY,,-1.0,1,,BSE,1.000000
935568,728IRFC30,728IRFC30,,-1.0,1,,BSE,1.000000
956982,918NRSS25B,918NRSS25B,,-1.0,1,,BSE,1.000000
722752,BHFL260422,BHFL260422,,-1.0,1,,BSE,1.000000
961823,827NHAI24,827NHAI24,,-1.0,1,,BSE,1.000000
958763,8HPCL24,8HPCL24,,-1.0,1,,BSE,1.000000
973195,AFPL190521,AFPL190521,,-1.0,1,,BSE,1.000000
722156,BFL271221,BFL271221,,-1.0,1,,BSE,1.000000
956829,865RHFL24,865RHFL24,,-1.0,2,,BSE,1.000000
