,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
607,29577,NIF100BEES-EQ,NIF100BEES,,-1.0,1,,NSE,1.0
614,7529,LCCINFOTEC-EQ,LCCINFOTEC,,-1.0,1,,NSE,5.0
616,19761,ADFFOODS-EQ,ADFFOODS,,-1.0,1,,NSE,5.0
623,6302,APOLSINHOT-EQ,APOLSINHOT,,-1.0,1,,NSE,5.0
626,8890,VERANDA-EQ,VERANDA,,-1.0,1,,NSE,5.0
631,7105,TEGA-EQ,TEGA,,-1.0,1,,NSE,5.0
637,4587,RAMCOIND-EQ,RAMCOIND,,-1.0,1,,NSE,5.0
639,11961,REVATHI-EQ,REVATHI,,-1.0,1,,NSE,5.0
641,5701,CUB-EQ,CUB,,-1.0,1,,NSE,5.0
648,7420,MANAKALUCO-EQ,MANAKALUCO,,-1.0,1,,NSE,5.0
651,6068,AIROLAM-EQ,AIROLAM,,-1.0,1,,NSE,5.0
654,1127,GHCL-EQ,GHCL,,-1.0,1,,NSE,5.0
655,3129,SHREYAS-EQ,SHREYAS,,-1.0,1,,NSE,5.0
659,6489,IRIS-EQ,IRIS,,-1.0,1,,NSE,5.0
663,1497,SHIVAMILLS-EQ,SHIVAMILLS,,-1.0,1,,NSE,5.0
666,8506,MID150BEES-EQ,MID150BEES,,-1.0,1,,NSE,1.0
676,17987,TRF-EQ,TRF,,-1.0,1,,NSE,5.0
678,14255,REDINGTON-EQ,REDINGTON,,-1.0,1,,NSE,5.0
697,9558,AKSHAR-EQ,AKSHAR,,-1.0,1,,NSE,5.0
701,1415,GLOBAL-EQ,GLOBAL,,-1.0,1,,NSE,5.0
704,2627,KOTAKIT-EQ,KOTAKIT,,-1.0,1,,NSE,1.0
706,1204,PRAXIS-EQ,PRAXIS,,-1.0,1,,NSE,5.0
710,8842,UMAEXPORTS-EQ,UMAEXPORTS,,-1.0,1,,NSE,5.0
711,2106,MANGLMCEM-EQ,MANGLMCEM,,-1.0,1,,NSE,5.0
712,20178,AKSHARCHEM-EQ,AKSHARCHEM,,-1.0,1,,NSE,5.0
717,445,5PAISA-EQ,5PAISA,,-1.0,1,,NSE,5.0
726,8175,SAGARDEEP-EQ,SAGARDEEP,,-1.0,1,,NSE,5.0
728,10530,SHARDAMOTR-EQ,SHARDAMOTR,,-1.0,1,,NSE,5.0
733,1214,DELTAMAGNT-EQ,DELTAMAGNT,,-1.0,1,,NSE,5.0
734,20160,CANTABIL-EQ,CANTABIL,,-1.0,1,,NSE,5.0
737,10099,GODREJCP-EQ,GODREJCP,,-1.0,1,,NSE,5.0
739,20790,SUMEETINDS-EQ,SUMEETINDS,,-1.0,1,,NSE,5.0
742,25082,TREEHOUSE-EQ,TREEHOUSE,,-1.0,1,,NSE,5.0
748,19211,HMVL-EQ,HMVL,,-1.0,1,,NSE,5.0
752,10457,ARVSMART-EQ,ARVSMART,,-1.0,1,,NSE,5.0
755,4116,HBSL-EQ,HBSL,,-1.0,1,,NSE,5.0
761,18214,TEXMOPIPES-EQ,TEXMOPIPES,,-1.0,1,,NSE,5.0
765,11987,ICIL-EQ,ICIL,,-1.0,1,,NSE,5.0
769,3405,TATACHEM-EQ,TATACHEM,,-1.0,1,,NSE,5.0
770,11386,ICICIBANKP-EQ,ICICIBANKP,,-1.0,1,,NSE,1.0
773,14403,RAJTV-EQ,RAJTV,,-1.0,1,,NSE,5.0
774,11522,NIITLTD-EQ,NIITLTD,,-1.0,1,,NSE,5.0
775,13900,CREST-EQ,CREST,,-1.0,1,,NSE,5.0
776,9305,STARTECK-EQ,STARTECK,,-1.0,1,,NSE,5.0
778,2181,BOSCHLTD-EQ,BOSCHLTD,,-1.0,1,,NSE,5.0
780,14677,GUJAPOLLO-EQ,GUJAPOLLO,,-1.0,1,,NSE,5.0
791,6943,TARSONS-EQ,TARSONS,,-1.0,1,,NSE,5.0
794,8153,MEGASTAR-EQ,MEGASTAR,,-1.0,1,,NSE,5.0
795,19531,BAJAJCON-EQ,BAJAJCON,,-1.0,1,,NSE,5.0
798,5614,GANESHBE-EQ,GANESHBE,,-1.0,1,,NSE,5.0
806,17625,MOLDTECH-EQ,MOLDTECH,,-1.0,1,,NSE,5.0
807,3918,NATCOPHARM-EQ,NATCOPHARM,,-1.0,1,,NSE,5.0
808,5578,AMIORG-EQ,AMIORG,,-1.0,1,,NSE,5.0
814,708,SHRADHA-EQ,SHRADHA,,-1.0,1,,NSE,5.0
818,11223,UCOBANK-EQ,UCOBANK,,-1.0,1,,NSE,5.0
823,634,IGARASHI-EQ,IGARASHI,,-1.0,1,,NSE,5.0
825,1085,GABRIEL-EQ,GABRIEL,,-1.0,1,,NSE,5.0
829,17547,AMRUTANJAN-EQ,AMRUTANJAN,,-1.0,1,,NSE,5.0
836,13,ABB-EQ,ABB,,-1.0,1,,NSE,5.0
840,13126,REPRO-EQ,REPRO,,-1.0,1,,NSE,5.0
844,14223,TIIL-EQ,TIIL,,-1.0,1,,NSE,5.0
851,18652,ICICIPRULI-EQ,ICICIPRULI,,-1.0,1,,NSE,5.0
852,1508,ASTERDM-EQ,ASTERDM,,-1.0,1,,NSE,5.0
856,5435,APTUS-EQ,APTUS,,-1.0,1,,NSE,5.0
858,29598,REPCOHOME-EQ,REPCOHOME,,-1.0,1,,NSE,5.0
862,6018,ABSLAMC-EQ,ABSLAMC,,-1.0,1,,NSE,5.0
870,2739,PRSMJOHNSN-EQ,PRSMJOHNSN,,-1.0,1,,NSE,5.0
871,6164,BHAGCHEM-EQ,BHAGCHEM,,-1.0,1,,NSE,5.0
872,9917,NEOGEN-EQ,NEOGEN,,-1.0,1,,NSE,5.0
875,7936,AVANTIFEED-EQ,AVANTIFEED,,-1.0,1,,NSE,5.0
876,15136,KAUSHALYA-EQ,KAUSHALYA,,-1.0,1,,NSE,5.0
878,25358,PGEL-EQ,PGEL,,-1.0,1,,NSE,5.0
880,29124,PCJEWELLER-EQ,PCJEWELLER,,-1.0,1,,NSE,5.0
893,3787,WIPRO-EQ,WIPRO,,-1.0,1,,NSE,5.0
895,1200,MAESGETF-EQ,MAESGETF,,-1.0,1,,NSE,1.0
899,17032,THYROCARE-EQ,THYROCARE,,-1.0,1,,NSE,5.0
905,3475,THERMAX-EQ,THERMAX,,-1.0,1,,NSE,5.0
907,804,SHIVATEX-EQ,SHIVATEX,,-1.0,1,,NSE,5.0
910,553,RELINFRA-EQ,RELINFRA,,-1.0,1,,NSE,5.0
918,17933,BEARDSELL-EQ,BEARDSELL,,-1.0,1,,NSE,5.0
922,11943,MCLEODRUSS-EQ,MCLEODRUSS,,-1.0,1,,NSE,5.0
928,11271,DREDGECORP-EQ,DREDGECORP,,-1.0,1,,NSE,5.0
929,559,BSL-EQ,BSL,,-1.0,1,,NSE,5.0
936,9592,VENUSPIPES-EQ,VENUSPIPES,,-1.0,1,,NSE,5.0
938,2998,SUVIDHAA-EQ,SUVIDHAA,,-1.0,1,,NSE,5.0
942,9685,TRIDENT-EQ,TRIDENT,,-1.0,1,,NSE,5.0
945,13197,GSPL-EQ,GSPL,,-1.0,1,,NSE,5.0
